spot_id,name,lat,lon,ncei_depth_m,google_depth_m,google_raw_elev,google_resolution_m,diff_m,pct_diff
turkey-bodrum,Bodrum Peninsula,37.0333,27.4333,10.0,-4.83,4.83,610.81,14.83,573.8
cali-bird-rock,Bird Rock (La Jolla),32.815,-117.275,5.14,-0.46,0.46,76.35,5.6,239.3
cali-santa-barbara-island-south,Santa Barbara Island - South,33.4717,-119.0125,53.74,62.47,-62.47,2.39,-8.74,-15.0
cali-avila-port-san-luis,Port San Luis,35.1717,-120.7533,6.0,5.2,-5.2,38.18,0.8,14.2
cali-channel-islands-santa-rosa-south,Santa Rosa Island - South,33.895,-120.1,24.51,17.99,-17.99,76.35,6.52,30.7
cali-channel-islands-santa-rosa-east,Santa Rosa Island - East,33.95,-119.945,67.52,66.56,-66.56,76.35,0.96,1.4
sicily-favignana,Favignana (Egadi),37.9383,12.3333,28.0,0,0,152.7,28.0,200.0
cali-palos-verdes-point,Palos Verdes Point,33.75,-118.4167,12.0,7.04,-7.04,9.54,4.96,52.1
croatia-dubrovnik-elafiti,Elafiti Islands (Dubrovnik),42.6833,17.9333,51.0,-11.78,11.78,610.81,62.78,320.1
cali-san-clemente-island-west,San Clemente - West,32.9,-118.535,35.27,23.83,-23.83,76.35,11.45,38.7
cali-catalina-isthmus,Isthmus Cove (Catalina),33.4467,-118.4883,26.55,36.12,-36.12,76.35,-9.56,-30.5
cali-big-sur-jade-cove,Jade Cove (Big Sur),35.905,-121.47,8.18,3.45,-3.45,76.35,4.72,81.2
cali-morro-bay-rock,Morro Rock,35.37,-120.875,20.0,14.07,-14.07,76.35,5.93,34.8
cali-cortez-bank,Cortez Bank,32.4444,-119.1108,19.59,21.76,-21.76,76.35,-2.17,-10.5
cali-channel-islands-santa-cruz,Santa Cruz Island - Smuggler's Cove,34.0223,-119.5373,2.89,0.15,-0.15,76.35,2.75,180.8
cali-tanner-bank,Tanner Bank,32.7058,-119.1335,52.23,37.28,-37.28,76.35,14.96,33.4
cali-nine-mile-bank-north,9-Mile Bank (North),32.6067,-117.4025,137.4,134.88,-134.88,76.35,2.52,1.9
cali-14-mile-bank,14-Mile Bank,33.3987,-118.0003,125.04,133.12,-133.12,152.7,-8.08,-6.3
